日期,收盘,开盘,高,低,交易量,涨跌幅
2000年1月2日,3.55,3.75,4.02,3.39,763.65M,-3.27%
2000年1月9日,3.59,3.64,3.65,3.09,836.42M,1.13%
2000年1月16日,3.98,3.61,4.34,3.59,845.97M,10.86%
2000年1月23日,3.63,3.87,4.08,3.59,517.21M,-8.79%
2000年1月30日,3.86,3.61,3.93,3.37,596.11M,6.34%
2000年2月6日,3.88,3.86,4.18,3.78,416.08M,0.52%
2000年2月13日,3.97,3.9,4.28,3.88,438.62M,2.32%
2000年2月20日,3.94,3.93,4.25,3.81,380.24M,-0.76%
2000年2月27日,4.57,3.93,4.72,3.87,602.23M,15.99%
2000年3月5日,4.49,4.5,4.61,4.22,320.03M,-1.75%
2000年3月12日,4.46,4.36,4.52,4.07,465.02M,-0.67%
2000年3月19日,4.95,4.41,5.37,4.34,576.57M,10.99%
2000年3月26日,4.85,4.92,5.17,4.48,385.27M,-2.02%
2000年4月2日,4.71,4.84,4.98,4.17,487.16M,-2.89%
2000年4月9日,4,4.7,4.74,3.75,723.27M,-15.07%
2000年4月16日,4.25,3.91,4.65,3.9,510.70M,6.25%
2000年4月23日,4.43,4.11,4.6,4.1,444.59M,4.24%
2000年4月30日,4.04,4.46,4.51,3.95,409.00M,-8.80%
2000年5月7日,3.84,4,4.06,3.53,463.45M,-4.95%
2000年5月14日,3.36,3.86,3.9,3.33,657.98M,-12.50%
2000年5月21日,3.08,3.35,3.35,2.96,634.89M,-8.33%
2000年5月28日,3.31,3.13,3.56,2.87,710.81M,7.47%
2000年6月4日,3.42,3.33,3.52,3.2,419.26M,3.32%
2000年6月11日,3.26,3.44,3.44,3.15,367.84M,-4.68%
2000年6月18日,3.69,3.23,4.12,3.21,514.52M,13.19%
2000年6月25日,3.74,3.75,3.96,3.65,300.50M,1.36%
2000年7月2日,3.89,3.72,3.94,3.54,227.28M,4.01%
2000年7月9日,4.12,3.86,4.33,3.84,404.27M,5.91%
2000年7月16日,3.83,4.16,4.21,3.7,424.52M,-7.04%
2000年7月23日,3.45,3.75,3.8,3.35,341.80M,-9.92%
2000年7月30日,3.38,3.51,3.69,3.16,264.49M,-2.03%
2000年8月6日,3.41,3.42,3.5,3.25,308.36M,0.89%
2000年8月13日,3.57,3.4,3.75,3.31,218.90M,4.69%
2000年8月20日,4.06,3.59,4.11,3.54,323.34M,13.73%
2000年8月27日,4.53,4.09,4.54,4.08,396.97M,11.58%
2000年9月3日,4.21,4.48,4.58,4.12,266.76M,-7.06%
2000年9月10日,3.95,4.19,4.31,3.87,375.61M,-6.18%
2000年9月17日,3.73,3.95,4.39,3.57,540.30M,-5.57%
2000年9月24日,1.84,3.77,3.96,1.81,2.38B,-50.67%
2000年10月1日,1.58,1.91,1.91,1.5,1.85B,-14.13%
2000年10月8日,1.58,1.62,1.63,1.37,1.23B,0.00%
2000年10月15日,1.39,1.59,1.66,1.31,1.14B,-12.03%
2000年10月22日,1.33,1.43,1.49,1.25,871.52M,-4.32%
2000年10月29日,1.59,1.37,1.64,1.34,801.74M,19.55%
