日期,收盘,开盘,高,低,交易量,涨跌幅
2008年1月2日,27.83,28.47,28.61,27.51,269.79M,-1.66%
2008年1月3日,27.85,27.92,28.2,27.53,210.52M,0.07%
2008年1月4日,25.72,27.35,27.57,25.56,363.96M,-7.65%
2008年1月7日,25.38,25.89,26.23,24.32,518.05M,-1.32%
2008年1月8日,24.46,25.73,26.07,24.4,380.95M,-3.62%
2008年1月9日,25.63,24.47,25.64,24.04,453.89M,4.78%
2008年1月10日,25.43,25.37,25.86,25.06,370.74M,-0.78%
2008年1月11日,24.67,25.14,25.41,24.29,308.07M,-2.99%
2008年1月14日,25.54,25.36,25.63,25.02,275.11M,3.53%
2008年1月15日,24.15,25.39,25.6,23.52,587.57M,-5.44%
2008年1月16日,22.81,23.6,24.14,22.39,554.34M,-5.55%
2008年1月17日,22.98,23.07,23.62,22.63,439.97M,0.75%
2008年1月18日,23.05,23.1,23.68,22.8,431.09M,0.30%
2008年1月22日,22.23,21.15,22.85,20.86,608.74M,-3.56%
2008年1月23日,19.87,19.46,20,18.02,843.26M,-10.62%
2008年1月24日,19.37,20,20.1,18.86,501.47M,-2.52%
2008年1月25日,18.57,19.86,19.87,18.52,388.68M,-4.13%
2008年1月28日,18.57,18.31,19.03,18.06,368.71M,0.00%
2008年1月29日,18.79,18.74,18.97,18.44,275.00M,1.18%
2008年1月30日,18.88,18.77,19.35,18.57,310.76M,0.48%
2008年1月31日,19.34,18.49,19.52,18.49,336.42M,2.44%
2008年2月1日,19.11,19.46,19.51,18.88,252.69M,-1.19%
2008年2月4日,18.81,19.17,19.41,18.77,224.81M,-1.57%
2008年2月5日,18.48,18.63,19.14,18.41,285.26M,-1.75%
2008年2月6日,17.43,18.69,18.85,17.4,393.32M,-5.68%
2008年2月7日,17.32,17.14,17.83,16.75,521.15M,-0.63%
2008年2月8日,17.93,17.44,17.96,17.37,338.99M,3.52%
2008年2月11日,18.49,18.29,18.57,18.17,300.36M,3.12%
2008年2月12日,17.84,18.67,18.71,17.66,306.49M,-3.52%
2008年2月13日,18.49,18.1,18.54,17.95,242.13M,3.64%
2008年2月14日,18.21,18.49,18.69,18.14,238.57M,-1.51%
2008年2月15日,17.8,18.04,18.15,17.72,225.32M,-2.25%
2008年2月19日,17.45,18,18.11,17.35,251.26M,-1.97%
2008年2月20日,17.69,17.46,17.8,17.38,241.86M,1.38%
2008年2月21日,17.36,18.01,18.07,17.27,234.53M,-1.87%
2008年2月22日,17.07,17.5,17.5,16.55,382.47M,-1.67%
2008年2月25日,17.11,16.94,17.17,16.67,314.19M,0.23%
2008年2月26日,17.02,16.81,17.3,16.49,376.22M,-0.53%
2008年2月27日,17.57,16.89,17.58,16.87,368.78M,3.23%
2008年2月28日,18.56,18.17,18.89,17.97,404.56M,5.63%
2008年2月29日,17.86,18.47,18.6,17.83,313.87M,-3.77%
2008年3月3日,17.39,17.78,18,16.86,398.44M,-2.63%
2008年3月4日,17.8,17.43,17.84,17.2,446.35M,2.36%
2008年3月5日,17.78,17.65,17.88,17.46,305.46M,-0.11%
2008年3月6日,17.28,17.8,18.21,17.26,368.42M,-2.81%
2008年3月7日,17.46,17.2,17.57,17.01,307.68M,1.04%
2008年3月10日,17.1,17.43,17.64,17.05,250.17M,-2.06%
2008年3月11日,18.19,17.73,18.21,17.43,291.36M,6.37%
2008年3月12日,18,18.15,18.38,17.88,264.91M,-1.04%
2008年3月13日,18.28,17.73,18.5,17.57,316.06M,1.56%
2008年3月14日,18.09,18.55,18.61,17.74,289.21M,-1.04%
2008年3月17日,18.1,17.51,18.37,17.51,268.15M,0.06%
2008年3月18日,18.97,18.45,19,18.38,301.28M,4.81%
2008年3月19日,18.52,19.02,19.18,18.52,252.63M,-2.37%
2008年3月20日,19.04,18.73,19.04,18.45,227.20M,2.81%
2008年3月24日,19.93,19.14,20.12,19.09,266.84M,4.67%
2008年3月25日,20.14,19.99,20.44,19.62,263.17M,1.05%
2008年3月26日,20.72,20.12,20.82,20.09,295.52M,2.88%
2008年3月27日,20.04,20.71,20.76,20,249.96M,-3.28%
2008年3月28日,20.43,20.26,20.66,20.23,178.83M,1.95%
2008年3月31日,20.5,20.47,20.82,20.36,192.02M,0.34%
2008年4月1日,21.36,20.9,21.38,20.52,258.14M,4.20%
2008年4月2日,21.07,21.25,21.6,20.84,261.24M,-1.36%
2008年4月3日,21.66,21.01,21.95,21,262.94M,2.80%
2008年4月4日,21.87,21.74,22.1,21.54,213.70M,0.97%
2008年4月7日,22.27,22.3,22.81,22.16,289.77M,1.83%
2008年4月8日,21.83,21.94,22.35,21.76,253.81M,-1.98%
2008年4月9日,21.63,21.9,21.98,21.49,218.48M,-0.92%
2008年4月10日,22.08,21.59,22.2,21.51,239.12M,2.08%
2008年4月11日,21.02,21.82,21.9,20.91,302.52M,-4.80%
2008年4月14日,21.11,20.97,21.32,20.65,211.33M,0.43%
2008年4月15日,21.2,21.34,21.39,20.82,174.51M,0.43%
2008年4月16日,21.96,21.67,22.01,21.52,198.94M,3.58%
2008年4月17日,22.07,22.02,22.29,21.91,176.33M,0.50%
2008年4月18日,23.01,22.73,23.18,22.63,256.69M,4.26%
2008年4月21日,24.02,23.17,24.07,23.11,259.79M,4.39%
2008年4月22日,22.89,23.91,24,22.58,359.89M,-4.70%
2008年4月23日,23.27,23.44,23.55,23.01,376.05M,1.66%
2008年4月24日,24.13,23.62,24.28,22.74,424.31M,3.70%
2008年4月25日,24.25,24.39,24.44,23.77,248.12M,0.50%
2008年4月28日,24.61,24.25,24.82,24.16,196.80M,1.48%
2008年4月29日,25.01,24.44,25.09,24.32,230.87M,1.63%
2008年4月30日,24.85,25.17,25.71,24.7,284.88M,-0.64%
2008年5月1日,25.71,24.99,25.71,24.98,225.89M,3.46%
2008年5月2日,25.85,25.74,25.99,25.51,251.52M,0.54%
2008年5月5日,26.39,25.99,26.47,25.86,213.64M,2.09%
2008年5月6日,26.67,26.38,26.73,26.03,229.72M,1.06%
2008年5月7日,26.08,26.58,26.89,25.79,289.28M,-2.21%
2008年5月8日,26.44,26.25,26.64,26.15,224.77M,1.38%
2008年5月9日,26.21,26.17,26.32,25.91,168.27M,-0.87%
