日期,收盘,开盘,高,低,交易量,涨跌幅
2008年1月,19.34,28.47,28.61,18.02,8.80B,-31.66%
2008年2月,17.86,19.46,19.51,16.49,6.22B,-7.65%
2008年3月,20.5,17.78,20.82,16.86,5.73B,14.78%
2008年4月,24.85,20.9,25.71,20.52,5.70B,21.22%
2008年5月,26.96,24.99,27.46,24.57,4.65B,8.49%
2008年6月,23.92,26.94,27.14,23.45,4.87B,-11.28%
2008年7月,22.71,23.46,25.84,20.93,4.94B,-5.06%
2008年8月,24.22,22.84,25.78,21.84,3.27B,6.65%
2008年9月,16.24,24.63,24.79,14.37,6.02B,-32.95%
2008年10月,15.37,15.99,16.63,12.14,10.36B,-5.36%
2008年11月,13.24,15.13,15.97,11.31,5.91B,-13.86%
2008年12月,12.19,13.04,14.8,12.08,5.07B,-7.93%
2009年1月,12.88,12.27,13.88,11.17,4.56B,5.66%
2009年2月,12.76,12.73,14.71,12.36,3.47B,-0.93%
2009年3月,15.02,12.59,15.71,11.76,3.86B,17.71%
2009年4月,17.98,14.87,18.17,14.84,2.96B,19.71%
2009年5月,19.4,17.97,19.41,17.05,2.36B,7.90%
2009年6月,20.35,19.5,20.91,18.98,3.17B,4.90%
2009年7月,23.34,20.5,23.57,19.2,2.74B,14.69%
2009年8月,24.03,23.6,24.64,22.77,2.04B,2.96%
2009年9月,26.48,24,26.99,23.44,2.50B,10.20%
2009年10月,26.93,26.48,29.82,25.81,3.24B,1.70%
2009年11月,28.56,27.11,29.71,26.51,2.11B,6.05%
2009年12月,30.1,28.89,30.56,26.95,2.85B,5.39%
2010年1月,27.44,30.49,30.8,27.18,3.79B,-8.84%
2010年2月,29.23,27.48,29.31,27.26,2.69B,6.52%
2010年3月,33.57,29.39,33.93,29.35,3.04B,14.85%
2010年4月,37.3,33.93,38.92,33.25,3.09B,11.11%
2010年5月,36.7,37.69,38.27,28.46,4.52B,-1.61%
2010年6月,35.93,37.1,39.86,34.6,4.16B,-2.10%
2010年7月,36.75,36.33,38,34.23,3.92B,2.28%
2010年8月,34.73,37.21,37.75,33.65,2.40B,-5.50%
2010年9月,40.54,35.35,42.1,35.18,2.96B,16.73%
2010年10月,43,40.88,45.57,39.68,3.06B,6.07%
2010年11月,44.45,43.17,45.9,42.54,2.38B,3.37%
2010年12月,46.08,45.04,46.67,44.98,1.74B,3.67%
2011年1月,48.47,46.52,49.8,46.41,2.71B,5.19%
2011年2月,50.46,48.76,52.13,48.25,2.32B,4.11%
2011年3月,49.79,50.78,51.67,46.61,2.83B,-1.33%
2011年4月,50.02,50.16,50.73,45.74,2.31B,0.46%
2011年5月,49.69,49.96,50.26,47.06,1.73B,-0.66%
2011年6月,47.95,49.84,50.3,44.36,2.32B,-3.50%
2011年7月,55.78,47.99,57.79,47.74,2.66B,16.33%
2011年8月,54.98,56.83,57.07,50.43,4.04B,-1.43%
2011年9月,54.47,55.12,60.41,52.35,2.99B,-0.93%
2011年10月,57.83,54.34,60.96,50.61,3.29B,6.17%
2011年11月,54.6,56.77,58.29,51.9,2.24B,-5.59%
2011年12月,57.86,54.65,58.44,53.95,1.58B,5.97%
2012年1月,65.21,58.49,65.46,58.43,1.72B,12.70%
2012年2月,77.49,65.49,78.23,64.85,2.84B,18.83%
2012年3月,85.65,78.31,88.78,73.75,3.90B,10.53%
2012年4月,83.43,85.98,92,79.29,3.90B,-2.59%
2012年5月,82.53,83.56,85.25,74.6,2.78B,-1.08%
2012年6月,83.43,81.31,84.29,78.36,1.96B,1.09%
2012年7月,87.25,83.53,88.55,81.43,2.23B,4.58%
2012年8月,95.03,87.99,97.27,85.75,2.07B,8.92%
2012年9月,95.3,95.11,100.72,93.71,2.30B,0.28%
2012年10月,85.05,95.88,96.68,83.96,3.04B,-10.76%
2012年11月,83.61,85.46,86.14,72.25,3.23B,-1.69%
2012年12月,76.02,84.81,84.94,71.6,3.03B,-9.08%
2013年1月,65.07,79.12,79.29,62.14,3.28B,-14.40%
2013年2月,63.06,65.59,69.28,62.52,2.34B,-3.09%
2013年3月,63.24,62.57,67.14,59.86,2.29B,0.29%
2013年4月,63.25,63.13,63.61,55.01,2.74B,0.02%
2013年5月,64.25,63.49,66.54,59.84,2.36B,1.58%
2013年6月,56.65,64.39,64.92,55.55,1.76B,-11.83%
2013年7月,64.65,57.53,65.33,57.32,1.64B,14.12%
2013年8月,69.6,65.11,73.39,64.75,2.01B,7.66%
2013年9月,68.11,70.44,72.56,63.89,2.16B,-2.14%
2013年10月,74.67,68.35,77.04,68.33,1.96B,9.63%
2013年11月,79.44,74.86,79.76,73.2,1.31B,6.39%
2013年12月,80.15,79.71,82.16,76.97,1.76B,0.89%
2014年1月,71.51,79.38,80.03,70.51,2.20B,-10.78%
2014年2月,75.18,71.8,78.74,71.33,1.47B,5.13%
2014年3月,76.68,74.77,78.43,74.69,1.25B,2.00%
2014年4月,84.3,76.82,85.63,73.05,1.61B,9.94%
2014年5月,90.43,84.57,92.02,82.9,1.43B,7.27%
2014年6月,92.93,90.57,95.05,88.93,1.21B,2.76%
2014年7月,95.6,93.52,99.44,92.57,1.04B,2.87%
2014年8月,102.5,94.9,102.9,93.28,937.08M,7.22%
2014年9月,100.75,103.06,103.74,96.14,1.53B,-1.71%
2014年10月,108,100.59,108.04,95.18,1.36B,7.20%
2014年11月,118.93,108.22,119.75,107.72,820.47M,10.12%
2014年12月,110.38,118.81,119.25,106.26,1.07B,-7.19%
2015年1月,117.16,111.39,120,104.63,1.31B,6.14%
2015年2月,128.46,118.05,133.6,116.08,1.14B,9.64%
2015年3月,124.43,129.25,130.28,121.63,1.14B,-3.14%
2015年4月,125.15,124.82,134.54,123.1,996.14M,0.58%
2015年5月,130.28,126.1,132.97,123.36,954.15M,4.10%
2015年6月,125.42,131.2,131.39,124.48,878.61M,-3.73%
2015年7月,121.3,126.9,132.97,119.22,1.06B,-3.28%
2015年8月,112.76,121.5,122.57,92,1.61B,-7.04%
2015年9月,110.3,110.15,116.89,107.36,1.21B,-2.18%
2015年10月,119.5,109.07,121.22,107.31,1.11B,8.34%
2015年11月,118.3,119.87,123.82,111,750.64M,-1.00%
2015年12月,105.26,118.75,119.86,104.82,922.63M,-11.02%
2016年1月,97.34,102.61,105.85,92.39,1.27B,-7.52%
2016年2月,96.69,96.47,98.89,92.59,810.86M,-0.67%
2016年3月,108.99,97.65,110.42,97.42,746.14M,12.72%
2016年4月,93.74,108.78,112.39,92.51,872.38M,-13.99%
2016年5月,99.86,93.97,100.73,89.47,901.14M,6.53%
2016年6月,95.6,99.02,101.89,91.5,780.63M,-4.27%
2016年7月,104.21,95.49,104.55,94.37,685.78M,9.01%
2016年8月,106.1,104.41,110.23,104,630.13M,1.81%
2016年9月,113.05,106.14,116.18,102.53,970.10M,6.55%
2016年10月,113.54,112.71,118.69,112.28,686.91M,0.43%
2016年11月,110.52,113.46,113.77,104.08,721.55M,-2.66%
2016年12月,115.82,110.36,118.02,108.25,608.77M,4.80%
2017年1月,121.35,115.8,122.44,114.76,563.33M,4.77%
2017年2月,136.99,127.03,137.48,127.01,574.97M,12.89%
2017年3月,143.66,137.89,144.5,137.05,562.09M,4.87%
2017年4月,143.65,143.71,145.46,140.06,373.30M,-0.01%
2017年5月,152.76,145.1,156.65,144.27,654.02M,6.34%
2017年6月,144.02,153.17,155.98,142.2,684.18M,-5.72%
2017年7月,148.73,144.88,153.99,142.41,422.01M,3.27%
2017年8月,164,149.1,164.52,148.41,661.07M,10.27%
2017年9月,154.12,164.8,164.94,149.16,680.44M,-6.02%
2017年10月,169.04,154.26,169.65,152.46,504.29M,9.68%
2017年11月,171.85,169.87,176.24,165.28,600.66M,1.66%
2017年12月,169.23,169.95,177.2,166.46,531.18M,-1.52%
2018年1月,167.43,170.16,180.1,164.7,659.68M,-1.06%
2018年2月,178.12,167.16,180.62,150.24,927.89M,6.38%
2018年3月,167.78,178.54,183.5,164.94,713.73M,-5.81%
2018年4月,165.26,167.88,178.94,160.63,666.36M,-1.50%
2018年5月,186.87,166.41,190.37,165.27,620.98M,13.08%
2018年6月,185.11,187.99,194.2,180.73,527.62M,-0.94%
2018年7月,190.29,183.82,195.96,183.42,393.84M,2.80%
2018年8月,227.63,199.13,228.87,197.31,700.32M,19.62%
2018年9月,225.74,228.41,229.67,215.3,678.97M,-0.83%
2018年10月,218.86,227.95,233.47,206.09,789.75M,-3.05%
2018年11月,178.58,219.05,222.36,170.26,961.32M,-18.40%
2018年12月,157.74,184.46,184.94,146.59,898.92M,-11.67%
2019年1月,166.44,154.89,169,142,828.10M,5.52%
2019年2月,173.15,166.96,175.87,165.93,472.54M,4.03%
2019年3月,189.95,174.28,197.69,169.5,650.98M,9.70%
2019年4月,200.67,191.64,208.48,188.38,506.12M,5.64%
2019年5月,175.07,209.88,215.31,174.99,739.46M,-12.76%
2019年6月,197.92,175.6,201.57,170.27,515.22M,13.05%
2019年7月,213.04,203.17,221.37,198.41,473.96M,7.64%
2019年8月,208.74,213.9,218.03,192.58,683.52M,-2.02%
2019年9月,223.97,206.43,226.42,204.22,547.41M,7.30%
2019年10月,248.76,225.07,249.75,215.13,622.65M,11.07%
2019年11月,267.25,249.54,268,249.16,448.92M,7.43%
2019年12月,293.65,267.27,293.97,256.29,598.87M,9.88%
2020年1月,309.51,296.24,327.85,292.75,735.01M,5.40%
2020年2月,273.36,304.3,327.22,256.37,755.22M,-11.68%
2020年3月,246.88,273.36,303.95,212.65,84.19M,-9.69%
