日期,收盘,开盘,高,低,交易量,涨跌幅
2004年1月2日,111.23,111.74,112.19,110.73,38.08M,-0.04%
2004年1月5日,112.44,111.78,112.52,111.59,27.97M,1.09%
2004年1月6日,112.55,112.16,112.73,112,20.51M,0.10%
2004年1月7日,112.93,112.35,113.06,111.89,30.18M,0.34%
2004年1月8日,113.38,113.25,113.41,112.77,37.05M,0.40%
2004年1月9日,112.39,112.83,113.5,112.27,54.09M,-0.87%
2004年1月12日,113.22,112.55,113.25,112.36,33.57M,0.74%
2004年1月13日,112.56,113.09,113.23,111.76,54.29M,-0.58%
2004年1月14日,113.5,112.76,113.66,112.67,30.15M,0.84%
2004年1月15日,113.78,113.57,114.06,112.58,38.43M,0.25%
2004年1月16日,114.23,114.04,114.31,113.63,31.93M,0.40%
2004年1月20日,114.2,114.53,114.65,113.82,29.88M,-0.03%
2004年1月21日,115.1,114.13,115.3,113.72,30.75M,0.79%
2004年1月22日,114.8,115.14,115.38,114.58,29.92M,-0.26%
2004年1月23日,114.43,115,115.37,113.95,49.97M,-0.32%
2004年1月26日,115.87,114.44,115.93,114.38,30.47M,1.26%
2004年1月27日,114.68,115.85,116.5,114.65,35.37M,-1.03%
2004年1月28日,113.37,114.98,115.28,112.94,52.89M,-1.14%
2004年1月29日,113.48,113.56,113.85,112.56,60.12M,0.10%
2004年1月30日,113.48,113.52,113.72,113.09,30.99M,0.00%
2004年2月2日,113.97,113.7,114.68,113.12,38.85M,0.43%
2004年2月3日,113.78,113.74,114.14,113.44,25.16M,-0.17%
2004年2月4日,112.85,113.19,113.73,112.79,39.63M,-0.82%
2004年2月5日,113.18,113.08,113.54,112.78,36.00M,0.29%
2004年2月6日,114.45,113.42,114.7,113.2,37.24M,1.12%
2004年2月9日,114.48,114.67,114.87,114.29,24.86M,0.03%
2004年2月10日,114.85,114.28,115.14,114.26,27.93M,0.32%
2004年2月11日,116.07,114.8,116.39,114.66,42.98M,1.06%
2004年2月12日,115.65,115.98,116.27,115.58,27.83M,-0.36%
2004年2月13日,115.13,115.82,116.2,114.75,44.74M,-0.45%
2004年2月17日,116.17,115.85,116.43,115.77,23.99M,0.90%
2004年2月18日,115.66,116.2,116.6,115.35,28.66M,-0.44%
2004年2月19日,115.23,116.33,116.39,115.06,51.18M,-0.37%
2004年2月20日,114.88,115.48,115.56,114.32,46.73M,-0.30%
2004年2月23日,114.59,115.22,115.26,114.17,36.37M,-0.25%
2004年2月24日,114.39,114.27,114.99,113.03,43.96M,-0.17%
2004年2月25日,114.87,114.46,115.06,114.32,31.23M,0.42%
2004年2月26日,114.94,114.61,115.29,114.34,29.69M,0.06%
2004年2月27日,115.02,115.19,115.74,114.63,39.28M,0.07%
2004年3月1日,116.16,115.43,116.34,115.25,33.20M,0.99%
2004年3月2日,115.48,115.94,116.97,115.23,38.61M,-0.59%
2004年3月3日,115.69,115.25,115.87,114.92,31.36M,0.18%
2004年3月4日,115.99,115.72,116.1,115.52,21.08M,0.26%
2004年3月5日,116.38,115.42,116.95,115.28,55.92M,0.34%
2004年3月8日,114.96,116.34,116.62,114.91,39.29M,-1.22%
2004年3月9日,114.5,115.1,115.21,114.24,39.75M,-0.40%
2004年3月10日,112.58,114.72,114.77,112.56,67.81M,-1.68%
2004年3月11日,111.12,112.4,113.27,111.1,89.45M,-1.30%
2004年3月12日,112.58,111.73,112.71,111.58,54.03M,1.31%
2004年3月15日,111.2,112.27,112.35,110.9,57.70M,-1.23%
2004年3月16日,111.79,111.78,112.06,110.84,60.11M,0.53%
2004年3月17日,113.04,112.18,113.26,112.1,41.89M,1.12%
2004年3月18日,113.07,112.71,113.27,111.93,60.03M,0.03%
2004年3月19日,111.06,112.41,112.57,111.04,48.65M,-1.78%
2004年3月22日,109.65,110.54,110.57,109.1,62.76M,-1.27%
2004年3月23日,109.46,110.25,110.4,109.36,54.12M,-0.17%
2004年3月24日,109.55,109.58,110.14,108.85,51.60M,0.08%
2004年3月25日,111,110.08,111.3,109.79,50.00M,1.32%
2004年3月26日,111.03,110.95,111.79,110.8,37.41M,0.03%
2004年3月29日,112.59,111.63,112.74,111.58,44.12M,1.41%
2004年3月30日,112.97,112.3,113.07,112.22,39.06M,0.34%
2004年3月31日,113.1,112.99,113.4,112.38,48.60M,0.12%
2004年4月1日,113.78,113.07,113.87,113.05,45.14M,0.60%
2004年4月2日,114.64,114.81,114.84,113.9,51.00M,0.76%
2004年4月5日,115.27,114.46,115.38,114.44,30.28M,0.55%
2004年4月6日,114.9,114.83,115.18,114.62,28.49M,-0.32%
2004年4月7日,114.63,114.98,114.98,114.11,45.90M,-0.23%
2004年4月8日,114.37,115.41,115.41,113.74,46.94M,-0.23%
2004年4月12日,114.82,114.58,115.08,114.57,23.10M,0.39%
2004年4月13日,113.21,115.26,115.3,113.02,56.24M,-1.40%
2004年4月14日,113.39,112.61,113.64,112.55,62.34M,0.16%
2004年4月15日,112.96,113.45,113.78,112.36,61.63M,-0.38%
2004年4月16日,113.83,113.36,114.05,112.98,47.06M,0.77%
2004年4月19日,113.83,113.57,113.99,113.27,28.28M,0.00%
2004年4月20日,111.92,114.08,114.32,111.78,53.36M,-1.68%
2004年4月21日,112.67,112.2,112.95,111.87,50.30M,0.67%
2004年4月22日,114.25,112.48,114.67,112.44,62.15M,1.40%
2004年4月23日,114.36,114.42,114.57,113.79,29.42M,0.10%
2004年4月26日,114.2,114.5,114.94,113.6,35.57M,-0.14%
2004年4月27日,114.3,114.23,115.12,113.96,43.49M,0.09%
2004年4月28日,112.82,113.89,114.01,112.5,50.18M,-1.29%
2004年4月29日,111.83,112.72,113.32,111.16,69.71M,-0.88%
2004年4月30日,110.96,112.12,112.38,110.9,48.69M,-0.78%
2004年5月3日,112.15,111.37,112.29,111.35,33.76M,1.07%
2004年5月4日,112.06,112.25,113.26,111.66,51.20M,-0.08%
2004年5月5日,112.78,112.41,112.96,112.16,34.43M,0.64%
2004年5月6日,111.81,112.02,112.59,111,55.01M,-0.86%
2004年5月7日,109.96,111.22,112.23,109.96,60.96M,-1.65%
2004年5月10日,108.83,109.44,109.75,108.36,75.36M,-1.03%
2004年5月11日,109.75,109.46,110.05,109.33,48.35M,0.85%
2004年5月12日,110.45,109.61,110.54,108.06,90.90M,0.64%
2004年5月13日,109.99,109.76,110.81,109.63,57.51M,-0.42%
2004年5月14日,110.04,109.98,110.74,109.27,54.13M,0.05%
2004年5月17日,109.1,108.89,109.5,108.41,55.08M,-0.85%
2004年5月18日,109.65,109.49,109.94,109.33,30.21M,0.50%
2004年5月19日,109.27,110.5,111.18,109.15,55.02M,-0.35%
2004年5月20日,109.62,109.45,109.87,109.04,38.13M,0.32%
2004年5月21日,109.81,109.97,110.55,109.47,47.49M,0.17%
2004年5月24日,110.27,110.53,110.76,109.68,40.98M,0.42%
2004年5月25日,111.85,109.9,111.98,109.6,51.72M,1.43%
2004年5月26日,112.24,111.66,112.29,111.51,35.98M,0.35%
2004年5月27日,112.87,112.54,113.03,112.06,45.32M,0.56%
2004年5月28日,112.86,112.73,112.88,112.36,23.37M,-0.01%
2004年6月1日,112.71,112.46,112.86,111.87,41.07M,-0.13%
2004年6月2日,113.13,113.03,113.48,112.46,39.78M,0.37%
2004年6月3日,112.09,112.81,113.19,112.07,38.73M,-0.92%
2004年6月4日,112.98,112.98,113.58,112.71,32.76M,0.79%
2004年6月7日,114.7,113.5,114.81,113.42,31.68M,1.52%
2004年6月8日,114.86,114.37,114.92,114.17,32.85M,0.14%
2004年6月9日,113.79,114.51,114.7,113.72,36.81M,-0.93%
2004年6月10日,114.35,114.04,114.35,113.93,21.72M,0.49%
2004年6月14日,113.22,113.82,113.85,112.87,34.64M,-0.99%
2004年6月15日,114.02,113.9,114.44,113.51,37.45M,0.71%
2004年6月16日,114,114,114.2,113.7,26.64M,-0.02%
2004年6月17日,113.83,113.79,114.07,113.33,28.48M,-0.15%
2004年6月18日,113.63,113.27,114.22,113.18,31.81M,-0.18%
2004年6月21日,113.2,113.75,114.14,113.13,24.74M,-0.38%
2004年6月22日,113.77,113.13,113.88,112.67,37.34M,0.50%
2004年6月23日,114.75,113.58,114.84,113.42,35.77M,0.86%
2004年6月24日,114.39,114.5,114.93,114.26,39.41M,-0.31%
2004年6月25日,113.84,114.41,114.94,113.68,32.87M,-0.48%
2004年6月28日,113.45,114.53,114.61,113.41,41.29M,-0.34%
2004年6月29日,113.92,113.5,114.17,113.42,28.43M,0.41%
2004年6月30日,114.53,114.07,114.79,113.65,52.61M,0.54%
2004年7月1日,112.94,114.25,114.4,112.58,57.78M,-1.39%
2004年7月2日,112.88,113.16,113.29,112.6,34.62M,-0.05%
2004年7月6日,111.89,112.37,112.45,111.63,38.71M,-0.88%
2004年7月7日,112.22,111.81,112.57,111.75,30.05M,0.29%
2004年7月8日,111.42,111.75,112.32,111.2,45.29M,-0.71%
2004年7月9日,111.73,111.67,111.94,111.38,27.41M,0.28%
2004年7月12日,111.78,111.52,112.04,111,35.69M,0.04%
2004年7月13日,111.86,111.92,112.02,111.6,26.82M,0.07%
2004年7月14日,111.52,111.26,112.39,111.12,54.24M,-0.30%
2004年7月15日,110.8,111.74,111.91,110.7,38.44M,-0.65%
2004年7月16日,110.71,111.57,111.67,110.44,40.87M,-0.08%
2004年7月19日,110.24,110.75,110.96,109.99,39.60M,-0.42%
2004年7月20日,111.64,110.53,111.9,110.25,47.30M,1.27%
2004年7月21日,109.58,111.82,112.06,109.45,56.27M,-1.85%
2004年7月22日,109.88,109.36,110.39,108.77,72.67M,0.27%
2004年7月23日,108.96,109.62,109.71,108.69,49.61M,-0.84%
2004年7月26日,108.75,109.21,109.43,108.21,49.69M,-0.19%
2004年7月27日,109.77,109.05,110.11,108.97,51.31M,0.94%
2004年7月28日,110.1,109.55,110.37,108.59,66.08M,0.30%
2004年7月29日,110.57,110.54,110.87,110,52.35M,0.43%
2004年7月30日,110.84,110.32,110.9,110.1,41.59M,0.24%
2004年8月2日,111.07,110.19,111.36,110.05,38.81M,0.21%
2004年8月3日,110.21,110.93,111.06,110.16,40.99M,-0.77%
2004年8月4日,110.2,109.89,110.75,109.64,40.84M,-0.01%
2004年8月5日,108.4,110.29,110.38,108.27,50.84M,-1.63%
2004年8月6日,106.85,107.63,107.97,106.62,74.75M,-1.43%
2004年8月9日,107,107.02,107.48,106.87,37.48M,0.14%
2004年8月10日,108.38,107.31,108.41,107.26,56.10M,1.29%
2004年8月11日,108.16,107.66,108.33,107.1,53.03M,-0.20%
2004年8月12日,106.98,107.62,107.95,106.63,50.04M,-1.09%
2004年8月13日,107.19,107.12,107.35,106.59,41.64M,0.20%
2004年8月16日,108.3,107.14,108.64,107.1,45.75M,1.04%
2004年8月17日,108.91,108.75,109.28,108.53,40.79M,0.56%
2004年8月18日,110.03,108.54,110.17,108.49,43.23M,1.03%
2004年8月19日,109.71,109.81,110.02,109.18,39.97M,-0.29%
2004年8月20日,110.48,109.61,110.63,109.51,44.90M,0.70%
2004年8月23日,110.2,110.55,110.77,110.05,33.85M,-0.25%
2004年8月24日,110.35,110.69,110.73,109.85,30.57M,0.14%
2004年8月25日,111.1,110.33,111.27,109.9,38.59M,0.68%
2004年8月26日,111.1,110.99,111.31,110.85,26.63M,0.00%
2004年8月27日,111.45,111.23,111.63,111.05,24.91M,0.32%
2004年8月30日,110.53,111.23,111.34,110.45,26.73M,-0.83%
2004年8月31日,111.11,110.66,111.16,110.1,44.21M,0.52%
2004年9月1日,111.32,110.94,111.64,110.48,52.80M,0.19%
