Date,收盘,开盘,高,低,交易量,涨跌幅
2008年1月6日,140.15,141.81,142.9,137.7,1.47B,-0.82%
2008年1月13日,132.06,141.16,141.86,131.1,1.54B,-5.77%
2008年1月20日,133.04,127.21,136.76,126,1.48B,0.74%
2008年1月27日,139.58,133.26,139.61,132.06,1.27B,4.92%
2008年2月3日,133.07,139.21,139.3,131.73,1.18B,-4.66%
2008年2月10日,135.14,133.1,137.1,132.04,996.52M,1.56%
2008年2月17日,135.62,136.69,137.6,132.86,772.44M,0.36%
2008年2月24日,133.82,135.54,139.14,132.78,994.47M,-1.33%
2008年3月2日,129.71,133.14,134.77,128.58,1.32B,-3.07%
2008年3月9日,129.61,129.81,133.77,127.59,1.64B,-0.08%
2008年3月16日,132.08,126.57,134.65,126.07,1.33B,1.91%
2008年3月23日,131.51,133.31,135.81,131.06,1.01B,-0.43%
2008年3月30日,136.89,131.29,137.96,131.09,1.01B,4.09%
2008年4月6日,133.38,137.87,138.57,133.01,914.87M,-2.56%
2008年4月13日,138.48,133.19,139.56,132.33,920.42M,3.82%
2008年4月20日,139.6,138.23,139.89,136.64,894.23M,0.81%
2008年4月27日,141.51,139.88,142.37,138.26,808.39M,1.37%
2008年5月4日,138.9,141.05,142.2,138.45,828.03M,-1.84%
2008年5月11日,142.66,139.25,142.87,138.73,863.13M,2.71%
2008年5月18日,137.64,142.81,144.3,137.52,949.24M,-3.52%
2008年5月25日,140.35,137.8,140.93,137.53,640.90M,1.97%
2008年6月1日,136.29,139.83,140.89,136.22,1.32B,-2.89%
2008年6月8日,136.15,136.86,137.5,133.52,1.27B,-0.10%
2008年6月15日,131.58,135.55,137.12,131.22,1.24B,-3.36%
2008年6月22日,127.53,132.09,133.4,127.03,1.32B,-3.08%
2008年6月29日,126.31,127.89,129.16,124.99,1.18B,-0.96%
2008年7月6日,123.84,126.79,127.74,122.49,2.00B,-1.96%
2008年7月13日,125.98,125.26,126.42,120.02,1.84B,1.73%
2008年7月20日,125.48,126.51,129.15,124.85,1.30B,-0.40%
2008年7月27日,126.16,125.51,128.6,123.42,1.35B,0.54%
2008年8月3日,129.37,126.04,129.93,124.76,1.16B,2.54%
2008年8月10日,130.17,129.47,131.51,127.67,1.14B,0.62%
2008年8月17日,129.65,130.43,130.48,126.34,940.77M,-0.40%
2008年8月24日,128.79,128.8,130.34,126.58,858.83M,-0.66%
2008年8月31日,124.42,130.03,130.71,122,1.13B,-3.39%
2008年9月7日,126.09,128.04,128.24,121.6,1.71B,1.34%
2008年9月14日,124.12,121.63,128,113.8,2.97B,-1.56%
2008年9月21日,120.85,124.45,124.75,117.79,1.50B,-2.63%
2008年9月28日,110.34,119.18,121.18,109.68,1.95B,-8.70%
2008年10月5日,88.5,107.15,107.62,83.58,3.28B,-19.79%
2008年10月12日,93.21,93.87,105.53,86.54,2.67B,5.32%
2008年10月19日,87.04,95.35,99.1,84,2.37B,-6.62%
2008年10月26日,96.83,85.97,98.57,83.7,2.40B,11.25%
2008年11月2日,93.86,96.78,100.86,90.06,1.80B,-3.07%
2008年11月9日,86.62,95.21,95.53,82.09,2.47B,-7.71%
2008年11月16日,79.52,86.38,88.56,74.34,3.03B,-8.20%
2008年11月23日,90.09,81.92,90.13,80.36,1.47B,13.29%
2008年11月30日,87.93,87.51,88.42,81.86,2.28B,-2.40%
2008年12月7日,88.99,90.34,92.38,85.2,1.96B,1.21%
2008年12月14日,88.19,89.02,92.43,86.29,1.60B,-0.90%
2008年12月21日,87.16,88.58,88.67,85.49,602.88M,-1.17%
2008年12月28日,92.96,87.24,93.44,85.6,718.76M,6.65%
2009年1月4日,89.09,92.63,94.55,85.36,1.45B,-4.16%
2009年1月11日,85.06,88.84,88.91,81.72,2.00B,-4.52%
2009年1月18日,83.11,84.23,85.06,80.05,1.60B,-2.29%
2009年1月25日,82.83,83.59,87.95,82.21,1.60B,-0.34%
2009年2月1日,86.98,81.57,87.34,77.73,1.67B,5.01%
2009年2月8日,82.76,86.96,87.74,81.05,1.86B,-4.85%
2009年2月15日,77.42,80.16,82.96,75.77,1.64B,-6.45%
2009年2月22日,73.93,78.27,79.67,73.81,2.10B,-4.51%
2009年3月1日,68.92,72.52,73.92,67.1,2.31B,-6.78%
2009年3月8日,76.09,67.95,76.98,67.73,1.89B,10.40%
2009年3月15日,76.71,76.96,81,75.45,1.99B,0.81%
2009年3月22日,81.61,78.74,83.3,78.31,1.93B,6.39%
2009年3月29日,84.26,79.8,84.61,77.96,1.83B,3.25%
2009年4月5日,85.81,83.34,85.82,81.51,1.02B,1.84%
2009年4月12日,87.08,84.92,87.65,83.61,1.35B,1.48%
2009年4月19日,86.66,85.54,87.31,82.75,1.55B,-0.48%
2009年4月26日,87.89,85.68,89.02,84.76,1.39B,1.42%
2009年5月3日,92.98,88.55,93.22,88.38,1.44B,5.79%
2009年5月10日,88.71,91.7,92.11,88.15,1.33B,-4.59%
2009年5月17日,89.02,89.55,92.8,88.26,1.16B,0.35%
2009年5月24日,92.53,88.36,93.7,88.32,1.03B,3.94%
2009年5月31日,94.55,93.67,95.67,87.53,1.24B,2.18%
2009年6月7日,95.08,93.84,96.11,93.04,1.22B,0.56%
2009年6月14日,92.04,93.96,94.02,90.83,1.10B,-3.20%
2009年6月21日,91.84,91.14,92.24,88.85,1.10B,-0.22%
2009年6月28日,89.81,92.11,93.23,89.76,782.72M,-2.21%
2009年7月5日,87.96,88.94,89.93,87,956.94M,-2.06%
2009年7月12日,94.13,88.31,94.51,87.59,989.58M,7.01%
2009年7月19日,98.06,94.68,98.14,94.19,990.76M,4.18%
2009年7月26日,98.81,97.88,99.83,96.98,973.28M,0.76%
2009年8月2日,101.2,99.85,102.03,99.31,951.11M,2.42%
2009年8月9日,100.79,100.74,101.61,99.46,883.39M,-0.41%
2009年8月16日,102.97,98.85,103.13,98.11,1.00B,2.16%
2009年8月23日,103.38,103.39,104.35,101.94,944.46M,0.40%
2009年8月30日,102.06,102.37,103.24,99.57,955.39M,-1.28%
2009年9月6日,104.77,103,105.3,102.39,602.81M,2.66%
2009年9月13日,106.72,103.88,108.06,103.15,935.77M,1.86%
2009年9月20日,104.45,105.89,108.03,104.09,953.66M,-2.13%
2009年9月27日,102.49,104.85,107.02,101.99,1.01B,-1.88%
2009年10月4日,107.26,102.9,107.26,102.6,829.88M,4.65%
2009年10月11日,108.89,107.76,109.71,106.76,833.09M,1.52%
2009年10月18日,108.08,109.07,110.31,107.5,1.04B,-0.74%
2009年10月25日,103.56,108.2,109.31,103.44,1.27B,-4.18%
2009年11月1日,107.13,104.13,107.4,103.08,1.08B,3.45%
2009年11月8日,109.62,107.95,110.82,107.87,808.97M,2.32%
2009年11月15日,109.43,110.38,111.69,109.01,857.47M,-0.17%
